name,offer,price,ratings
"Twill cotton printed shirts for mens.,Trendy Fabulous Men Tshirts,Urbane Graceful Men Tshirts,polyester Shirts,Tiger Face and Text Premium Printed Cotton Round Neck T shirt for Men,Ship in Bottle_128 Printed Men Round Neck White T-Shirt,driplock cottan round neck t shirt ,London Hills Printed Men Round Neck Black T-Shirt,Diversify Striped Men Round Neck Orange T-Shirt,YOURSHIRT,Plain Men's Full sleeves Yellow Cotton T-shirt,VANHEUSEN COOL IT  vests,batman tshirt,driplock cottan round neck t shirt ,Iskot,Classy Fashionista Top & Bottom Set,Rockstar in town_121 Printed Men Round Neck White T-Shirt,Thhar Galiyara Women's Maroon Ajarkh Shirt,Fancy Graceful Men Tshirts,driplock cottan round neck t shirt ","17,% off,15,% off,20,% off,27,% off,24,% off,30,% off,22,% off,16,% off,21,% off,21,% off,21,% off,30,% off,30,% off,24,% off,30,% off,9,% off,30,% off,14,% off,15,% off,22,% off","₹,494,₹,567,₹,407,₹,268,₹,316,₹,153,₹,346,₹,517,₹,366,₹,368,₹,366,₹,154,₹,187,₹,324,₹,84,₹,1040,₹,153,₹,618,₹,567,₹,346","4.0,3.4,4.0,4.0,3.7,4.0,4.0,3.7,4.0,4.0,1"
"MENS TRENDY PRINTING VESTSLEEVE LESS,Friszy - Men's Cotton Printed Vest (SIZE - S,M,L,XL&XXl) Royal Blue Color,Jump Cuts Men's All Over Printed Round Neck Sleeveless Black and Red Cotton Slim Fit Vest  ,MENS TRENDY PRINTING VEST,AKASH GANGA CONTRAST SPORTS VEST BLACK-BLUE-OLIVE-GREY ART 502,Duke Rn , 100 % cotton vests,DEEMED1 NEW PKO2 PRINTED VEST,Kothari Men's Regular Fit Mercerised Vest (90Pack of 5) ,Fancy Men Vest,Army/Military Style Sandos for men. Material: Cotton.,VANHEUSEN COOL IT  vests,Stylus Men Vest,Stylish Men Vest,Santonio - Men Navy Blue Plus Size Regular Fit Solid Vest,JUNGLE ARMY SANDO AND CAP,Trendy  Vests,Duke RNS 100% cotton,PACK OF  5 SUPER COTTON VEST ,AKASH GANGA CONTRAST COLOUR GREY SPORTS VEST COMBO 4,KOTHARI 421 VEST 80 PACK OF 3","30,% off,30,% off,30,% off,30,% off,18,% off,30,% off,30,% off,19,% off,30,% off,16,% off,30,% off,30,% off,30,% off,9,% off,28,% off,30,% off,30,% off,28,% off,18,% off,26,% off","₹,150,₹,112,₹,171,₹,150,₹,444,₹,220,₹,220,₹,420,₹,126,₹,513,₹,154,₹,126,₹,133,₹,963,₹,263,₹,126,₹,213,₹,263,₹,444,₹,284","3.9,3.9,4.1,3.8,3.9,3.6,3.6,3.6,4.1,4.1,3.9,1"
"driplock cottan round neck t shirt ,Classy Glamorous Men Tshirts,cotton Shirt, Plan Men Slim Fit Solid Slim Collar Formal Shirt,Duke Rn , 100 % cotton vests,Men Regular Fit Solid Spread Collar Casual Shirt,TSHIRT,SOLID T Shirt for Men Pack of 1,Fancy Designer Top & Bottom Set,Classic Elegant Men Tshirts, Tracksuits    ,Pretty Graceful Men Tshirts,ENRYCA WASHED CASUAL SHIRTS,Stylish Glamorous Men's Senational Shirts,AF ENTERPRISES Men's Check Shirt/Checkered Regular Fit Casual Shirt for Mens (Yellow),driplock cottan round neck t shirt ,Men's Regular Fit Full Sleeve Checked Shirt,driplock cottan round neck print t shirt,T-SHIRT,Tshirt","22,% off,20,% off,27,% off,29,% off,30,% off,13,% off,5,% off,27,% off,9,% off,15,% off,14,% off,20,% off,18,% off,24,% off,19,% off,23,% off,26,% off,22,% off,27,% off,5,% off","₹,346,₹,407,₹,268,₹,249,₹,220,₹,668,₹,1900,₹,266,₹,989,₹,567,₹,600,₹,389,₹,464,₹,315,₹,428,₹,338,₹,284,₹,346,₹,276,₹,1900","4.0,3.9,4.1,4.0,4.0,3.6,3.9,2.7,4.0,4.0,3.7,3"
"Track Pants ,Men's Track Pant (Olive) ,Boy""s And Girl""s Stretch Lycra Check Printed Track Pant( Set Of 2 ),track pants,Anika Trendy Regular Fit Lower  Track Pants ,Track Pants ,K-20 Men's Regular Fit Trackpant,track pant for men,Trendy Fashion Men Furr Track Pant.,Fancy Fabulous Men Track Pants,track pant for men,Anika Men Regular Fit Lower ,ZARRA Track Pants ,K-20 Men's or Boy's Pure Cotton Solid Regular Fit track pant,Men's Track Pant (Grey),Men's Track pant Combo (Red & Black),BOY""S & GIRL""S CKECK PRINTED LYCRA TRACK PANT ,K-20 Men's Regular Fit Trackpant,Fashionable Glamarous Men Track Pants,lower ","22,% off,30,% off,16,% off,30,% off,30,% off,30,% off,24,% off,30,% off,19,% off,25,% off,30,% off,30,% off,21,% off,24,% off,30,% off,20,% off,27,% off,24,% off,25,% off,30,% off","₹,350,₹,213,₹,524,₹,217,₹,206,₹,210,₹,324,₹,192,₹,439,₹,294,₹,192,₹,206,₹,374,₹,324,₹,213,₹,403,₹,273,₹,324,₹,294,₹,217","3.5,3.8,4.0,3.5,3.8,3.7,3.0,3.8,3.5,3.6,3.8,3.8,3.9,3.0,1"
"GT SPORTS TRACKPANTS FOR MEN WHITE AND RED STRIPED BLACK IN COLOR COMBO OF 2,Fancy Fashionista Men Track Pants,track pants,Track pant,Polyestar Night pant pack of 4 (10 to 13 years) ,Designer Trendy Men Track Pants,Quso Plain Lycra- Navy,Track Pants ,Branded Imported Ns Lycra Track Pants with both side zip pockets,one8 track pants Trending Running,Sportsware,slim-fit Trackpants for man,Solid Men Light Green Track Pants,Vide Solid Men Airforce Trackpants,YESWIN TRACK PANT,TRACK PANT,C&A REGULAR FIT TRACK PANT,track pants,TRACK PANTS,classy cotton's  trendy men's track pants ,Xaxrod Men's Cotton Regular Fit Trackpants Olive, Royal Blue & Mustard Pack 3-44 (Made in India),Elegant Unique Men Track Pants","23,% off,27,% off,17,% off,27,% off,20,% off,24,% off,27,% off,27,% off,30,% off,27,% off,23,% off,11,% off,27,% off,24,% off,14,% off,30,% off,14,% off,28,% off,12,% off,26,% off","₹,332,₹,273,₹,473,₹,273,₹,399,₹,309,₹,273,₹,273,₹,199,₹,273,₹,334,₹,773,₹,273,₹,323,₹,623,₹,147,₹,623,₹,263,₹,736,₹,281","3.5,3.3,4.0,3.8,3.3,3.7,3.7,3.8,4.1,3.5,4.5,3"
"Friszy - Men's Cotton Printed Vest (SIZE - S,M,L,XL&XXl) Mustard Color,AKASH GANGA CONTRAST SPORTS VEST GREY-BLACK-BLUE-WHITE ART 502,Latest Men Vest,Casual Men Vest,Rupa Jon Men's Cotton Vest ,Vests,Vests,Friszy - Men's Cotton Printed Vest (SIZE - S,M,L,XL&XXl) Mustard Color,Comfy Men Vest,AKASH GANGA CONTRAST COLOUR BLUE SPORTS VEST COMBO 3,AKASH GANGA CONTRAST SPORTS VEST BLACK-GREY ART 502,AKASH GANGA CONTRAST SPORTS VEST OLIVE-GREY ART 502,AKASH GANGA CONTRAST SPORTS VEST BLUE-GREY ART 502,gym Vest combo For Men,AKASH GANGA CONTRAST SPORTS VEST BLUE-RED-OLIVE ART 502,AKASH GANGA CONTRAST SPORTS VEST WHITE-BLUE ART 502,Vests,Casual Men Vest,Comfy Men Vest,Friszy - Men's Cotton Printed Vest (SIZE - S,M,L,XL&XXl) Mustard & Royal Blue Color","28,% off,18,% off,22,% off,22,% off,27,% off,26,% off,26,% off,30,% off,30,% off,21,% off,26,% off,26,% off,26,% off,27,% off,21,% off,26,% off,22,% off,30,% off,29,% off,28,% off","₹,253,₹,444,₹,363,₹,363,₹,274,₹,284,₹,284,₹,112,₹,220,₹,384,₹,284,₹,284,₹,284,₹,264,₹,384,₹,284,₹,363,₹,220,₹,239,₹,253","3.8,4.0,3.9,4.0,3.9,3.8,3.8,4"
"Kothari Rns Men's Half Sleevs Mercerized Vest(Grey Pack of 5),AKASH GANGA CONTRAST COLOUR OLIVE SPORTS VEST COMBO 4,Standard Men Vest,Comfy Men Vest,Fancy Men Vest,AKASH GANGA CONTRAST SPORTS VEST BLACK-BLUE-OLIVE-WHITE_ART 502,vest,AKASH GANGA CONTRAST SPORTS VEST OLIVE-BLUE ART 502,AKASH GANGA CONTRAST COLOUR WHITE SPORTS VEST COMBO 3,AKASH GANGA CONTRAST COLOUR WHITE SPORTS VEST COMBO 2 ,AKASH GANGA CONTRAST COLOUR BLUE SPORTS VEST COMBO 2 ,Latest Men Vest,AKASH GANGA CONTRAST SPORTS VEST GREY-OLIVE-BLACK ART 502,Neoteric Men's Cotton Gym Vest  Colors May Vary Neoteric Men's Cotton Vest (Pack of 5) Colors May Vary,Standard Men Vest,AKASH GANGA CONTRAST COLOUR BLACK SPORTS VEST COMBO 4,White Mens Vests ,Jockey Modern Classic Vest 8820,Kothari Rns Men's Half Sleevs Mercerized vest,Men vests","20,% off,18,% off,30,% off,22,% off,26,% off,18,% off,30,% off,26,% off,21,% off,26,% off,26,% off,29,% off,21,% off,18,% off,30,% off,18,% off,29,% off,26,% off,16,% off,30,% off","₹,399,₹,444,₹,220,₹,363,₹,284,₹,444,₹,140,₹,284,₹,384,₹,284,₹,284,₹,239,₹,384,₹,463,₹,220,₹,444,₹,53,₹,280,₹,544,₹,217","3.9,3.8,4.0,4.0,4.0,3.9,3"
"Fashionable Latest Men Track Pants,Light Grey Lower-roo2 Track Pants,Men Track Pants,Track Pants ,Men's Cotton Lower  Track Pants ,nikwnewairfit,Black Second Gym Paint Track Pants ,PLAIN PYJAMA EDITION KHAKI,Rare Oxen Lycra Stretchable Track Pants for men - Black & Navy ,Solid Jogar Men Black, Blue Track Pants Combo,Men's night pant,Boy's Military Cotton Solid Convertible Slim fit Cargo's (Military) Track Pant,REC SWAGGY SOLID TRACKPANTS,casual mens track pant combo f 3,Diwazzo Mens Cotton Track Pants,Vide Striped Men Black Trackpants,trackpants,SKYSTARZ NEW LAUNCHING TRACK PENT FOR Man's,FABLOID Dark Blue Sports Lower Track Pants ,Men track pant","19,% off,25,% off,18,% off,22,% off,16,% off,21,% off,27,% off,19,% off,15,% off,15,% off,21,% off,17,% off,30,% off,17,% off,14,% off,10,% off,30,% off,19,% off,30,% off,19,% off","₹,424,₹,294,₹,454,₹,350,₹,541,₹,373,₹,268,₹,424,₹,564,₹,573,₹,373,₹,473,₹,164,₹,503,₹,622,₹,873,₹,210,₹,419,₹,199,₹,424","3.9,3.3,4.0,3.9,4.3,3.7,3.6,4.0,3.6,3.6,3.4,3.5,3.5,3.9,4"
"TSHIRT,Skul Head on Fire_125 Printed Men Round Neck White T-Shirt, fabcolors Attractive and beautiful stylish mens party wear cotton slim fit Slim Fit Shirt, Slim Fit shirt For men, slim fit design Shirt, solid collared shirt,full sleeves casual shirts, formal shirt,formal office wear Shirt, spread collar Shirt regular official and daily used for handsome look .,Men Regular Fit Solid Spread Collar Casual Shirt,Men Slim Fit Casual Shirt,cottan shirts,TSHIRT,Tracksuits,Trendy Designer Top & Bottom Set,Men's Casual Checked Shirt by MENVERSE,Trendy Glamorous Men Tshirts,Shirts,PLAIN LYCRA PRINTS,Stylish Partywear Top & Bottom Set,Shirts,Plain Men's Full sleeves Royal Blue Cotton T-shirt,Printed Tshirt ( Pack of 2),VIDYANJALI STAR FOXmen solid formal exclusive white shirt, Men Regular Fit Solid Spread Collar Casual Shirt,cotton Shirts","5,% off,30,% off,21,% off,13,% off,17,% off,27,% off,5,% off,6,% off,9,% off,26,% off,30,% off,21,% off,21,% off,10,% off,21,% off,21,% off,17,% off,25,% off,13,% off,27,% off","₹,2000,₹,153,₹,381,₹,668,₹,499,₹,268,₹,2000,₹,1500,₹,989,₹,287,₹,187,₹,368,₹,384,₹,940,₹,368,₹,366,₹,486,₹,299,₹,668,₹,268","3.8,3.5,4.0,3.8,3.4,3.4,4"
"Urbane Graceful Men track pant,Fashion By Stacktrail Cotton Rich Logo Trackpant Men,Track Pants,Spencher Branded Sportswear Trackpant in blue Color For Men & Boys,trackpant, Track Pants ,Gray Track Pant,BLUE BLISS MENS COTTON TRACK PANT COMBO 1,Track Pant ,Stylish Latest Men Track Pants, Gsoon 4 Way Lycra Fabric Single pintex Casual Trousers/ Pant / Track Pant,BLK BULL TRAK,Hubberholme Men Trackpant,Hubberholme Men Trackpant,one8blackjpogger,Track pants ,Solid Men Blue Track Pants,Track pants /Stylish lower /Boys track pant /Cotton lower /Blue lower ,Fashionable Unique Men Track Pants,Football Design Dri-Fit Black Trackpant","30,% off,21,% off,15,% off,30,% off,25,% off,30,% off,30,% off,16,% off,30,% off,17,% off,28,% off,24,% off,21,% off,21,% off,21,% off,13,% off,30,% off,27,% off,12,% off,21,% off","₹,214,₹,373,₹,573,₹,185,₹,304,₹,168,₹,175,₹,543,₹,133,₹,473,₹,263,₹,323,₹,373,₹,373,₹,373,₹,673,₹,213,₹,273,₹,763,₹,373","3.6,3.5,3.9,3.8,3.3,3.4,2.9,6"
